z,potential
0.000000000000000000e+00,1.000008973768856890e+00
7.216572326611306321e-02,1.000011086717669029e+00
1.443314465322261264e-01,1.000017755992296031e+00
2.164971697983392174e-01,1.000027866866341597e+00
2.886628930644522528e-01,1.000039829444699935e+00
3.608286163305653993e-01,1.000052614173009724e+00
4.329943395966784347e-01,1.000064711040284937e+00
5.051600628627914702e-01,1.000074802896339543e+00
5.773257861289045056e-01,1.000082815060006292e+00
6.494915093950176521e-01,1.000088230498105579e+00
7.216572326611307986e-01,1.000091255783774669e+00
7.938229559272437230e-01,1.000094019669075074e+00
8.659886791933568695e-01,1.000096267746936274e+00
9.381544024594699049e-01,1.000099087620048177e+00
1.010320125725582940e+00,1.000103515775039531e+00
1.082485848991695976e+00,1.000106316529496331e+00
1.154651572257809011e+00,1.000105235596737918e+00
1.226817295523922269e+00,1.000099946330621270e+00
1.298983018790035304e+00,1.000091266718120320e+00
1.371148742056148340e+00,1.000080957561737094e+00
1.443314465322261597e+00,1.000073116426620334e+00
1.515480188588374411e+00,1.000070207218804574e+00
1.587645911854487446e+00,1.000074364797671977e+00
1.659811635120600481e+00,1.000082874646770703e+00
1.731977358386713739e+00,1.000095318540292100e+00
1.804143081652826774e+00,1.000107568003335556e+00
1.876308804918939810e+00,1.000116367567360998e+00
1.948474528185053067e+00,1.000120934793462979e+00
2.020640251451165881e+00,1.000119505640600037e+00
2.092805974717279138e+00,1.000111687896607204e+00
2.164971697983391952e+00,1.000098331307267996e+00
2.237137421249505209e+00,1.000079533087696371e+00
2.309303144515618023e+00,1.000056311975106471e+00
2.381468867781731280e+00,1.000030284495084576e+00
2.453634591047844538e+00,1.000002776552379125e+00
2.525800314313957351e+00,9.999754146538309962e-01
2.597966037580070608e+00,9.999495778403750812e-01
2.670131760846183866e+00,9.999266180851633656e-01
2.742297484112296679e+00,9.999083403613759913e-01
2.814463207378409937e+00,9.998951342485086213e-01
2.886628930644523194e+00,9.998878965740874980e-01
2.958794653910635564e+00,9.998858831083787813e-01
3.030960377176748821e+00,9.998889238308550365e-01
3.103126100442861635e+00,9.998951396262077962e-01
3.175291823708974892e+00,9.999020920850595351e-01
3.247457546975088150e+00,9.999063806841661517e-01
3.319623270241200963e+00,9.999069380144145480e-01
3.391788993507314220e+00,9.999022346536455830e-01
3.463954716773427478e+00,9.998945178326670291e-01
3.536120440039540291e+00,9.998871520062090346e-01
3.608286163305653549e+00,9.998842722908529712e-01
3.680451886571766806e+00,9.998877063614801664e-01
3.752617609837879620e+00,9.998967036179765566e-01
3.824783333103992877e+00,9.999082061042553482e-01
3.896949056370106135e+00,9.999166802983613378e-01
3.969114779636218948e+00,9.999200908350560635e-01
4.041280502902331762e+00,9.999171640113219128e-01
4.113446226168444575e+00,9.999090954006476517e-01
4.185611949434558277e+00,9.999002053118277722e-01
4.257777672700671090e+00,9.998917439023448095e-01
4.329943395966783903e+00,9.998860431095583090e-01
4.402109119232897605e+00,9.998857865530862421e-01
4.474274842499010418e+00,9.998903389616720094e-01
4.546440565765124120e+00,9.998998579866307246e-01
4.618606289031236045e+00,9.999143493038403774e-01
4.690772012297348859e+00,9.999328553003905551e-01
4.762937735563462560e+00,9.999541040296026084e-01
4.835103458829575374e+00,9.999767909638987984e-01
4.907269182095689075e+00,9.999996043429394410e-01
4.979434905361801889e+00,1.000021137905172663e+00
5.051600628627914702e+00,1.000040100803968546e+00
5.123766351894027515e+00,1.000055183519028335e+00
5.195932075160141217e+00,1.000065797587445848e+00
5.268097798426254030e+00,1.000071491667518853e+00
5.340263521692367732e+00,1.000071630792177979e+00
5.412429244958479657e+00,1.000067904849963885e+00
5.484594968224593359e+00,1.000061811058555072e+00
5.556760691490706172e+00,1.000056204588477549e+00
5.628926414756819874e+00,1.000054456126022728e+00
5.701092138022932687e+00,1.000057937362818450e+00
5.773257861289046389e+00,1.000070085219458393e+00
5.845423584555158314e+00,1.000087984310681133e+00
5.917589307821271127e+00,1.000108646776374011e+00
5.989755031087384829e+00,1.000126159293527328e+00
6.061920754353497642e+00,1.000135871913557573e+00
6.134086477619611344e+00,1.000137207990375421e+00
6.206252200885723269e+00,1.000132125342919842e+00
6.278417924151836971e+00,1.000126716478036082e+00
6.350583647417949784e+00,1.000125170816170028e+00
6.422749370684063486e+00,1.000132405422655690e+00
6.494915093950176299e+00,1.000148022611439869e+00
6.567080817216290001e+00,1.000172664341552053e+00
6.639246540482401926e+00,1.000203792046542306e+00
6.711412263748515628e+00,1.000238991326978466e+00
6.783577987014628441e+00,1.000276786932436490e+00
6.855743710280742143e+00,1.000316022493654922e+00
6.927909433546854956e+00,1.000355029359312420e+00
7.000075156812967769e+00,1.000393710447808671e+00
7.072240880079080583e+00,1.000430588309842772e+00
7.144406603345193396e+00,1.000464982407997194e+00
7.216572326611307098e+00,1.000496024564027531e+00
7.288738049877419911e+00,1.000522280565293576e+00
7.360903773143533613e+00,1.000542534221614988e+00
7.433069496409645538e+00,1.000555253428579316e+00
7.505235219675759240e+00,1.000558901586920069e+00
7.577400942941872053e+00,1.000552079934833083e+00
7.649566666207985755e+00,1.000533382910753666e+00
7.721732389474098568e+00,1.000503897982165435e+00
7.793898112740212270e+00,1.000463719893448289e+00
7.866063836006324195e+00,1.000415429561298586e+00
7.938229559272437896e+00,1.000363260922483732e+00
8.010395282538551598e+00,1.000312831015941040e+00
8.082561005804663523e+00,1.000270005076382418e+00
8.154726729070777225e+00,1.000241047865219279e+00
8.226892452336889150e+00,1.000224542009592987e+00
8.299058175603002852e+00,1.000219064729075402e+00
8.371223898869116553e+00,1.000217453789439714e+00
8.443389622135228478e+00,1.000210604766806899e+00
8.515555345401342180e+00,1.000193888545950260e+00
8.587721068667454105e+00,1.000165549554178579e+00
8.659886791933567807e+00,1.000131110768151865e+00
8.732052515199681508e+00,1.000095660236604012e+00
8.804218238465795210e+00,1.000062878515065146e+00
8.876383961731907135e+00,1.000034381732662014e+00
8.948549684998020837e+00,1.000007562587701848e+00
9.020715408264134538e+00,9.999775569033361178e-01
9.092881131530248240e+00,9.999423130293181305e-01
9.165046854796360165e+00,9.998986651754904198e-01
9.237212578062472090e+00,9.998469220778450905e-01
9.309378301328585792e+00,9.997878485942257587e-01
9.381544024594697717e+00,9.997235451280033214e-01
9.453709747860811419e+00,9.996571854965715653e-01
9.525875471126925120e+00,9.995917420375585172e-01
9.598041194393038822e+00,9.995307334479665018e-01
9.670206917659150747e+00,9.994771386448986217e-01
9.742372640925264449e+00,9.994336229344692457e-01
9.814538364191378150e+00,9.994026042434830392e-01
9.886704087457491852e+00,9.993854835560028738e-01
9.958869810723603777e+00,9.993835913885710243e-01
1.003103553398971570e+01,9.993969808770768459e-01
1.010320125725582940e+01,9.994240171630802694e-01
1.017536698052194311e+01,9.994630802169023331e-01
1.024753270378805503e+01,9.995105437352572730e-01
1.031969842705416873e+01,9.995610965329140285e-01
1.039186415032028243e+01,9.996093492715159012e-01
1.046402987358639436e+01,9.996481291958208004e-01
1.053619559685250806e+01,9.996719711848478518e-01
1.060836132011862176e+01,9.996768935185250671e-01
1.068052704338473546e+01,9.996650925068625293e-01
1.075269276665084739e+01,9.996406155692713069e-01
1.082485848991695931e+01,9.996140880486964475e-01
1.089702421318307302e+01,9.995911639231848111e-01
1.096918993644918672e+01,9.995778419067200549e-01
1.104135565971529864e+01,9.995722903806493198e-01
1.111352138298141234e+01,9.995724927983504760e-01
1.118568710624752605e+01,9.995728909550828378e-01
1.125785282951363975e+01,9.995722374897169082e-01
1.133001855277975167e+01,9.995710310776860785e-01
1.140218427604586537e+01,9.995724706584399044e-01
1.147434999931197908e+01,9.995776744314336382e-01
1.154651572257809278e+01,9.995908444547115801e-01
1.161868144584420293e+01,9.996128514483025862e-01
1.169084716911031663e+01,9.996421196629833306e-01
1.176301289237643033e+01,9.996791611026958346e-01
1.183517861564254225e+01,9.997210975017211121e-01
1.190734433890865596e+01,9.997653254861215144e-01
1.197951006217476966e+01,9.998097736043773942e-01
1.205167578544088336e+01,9.998512267183703450e-01
1.212384150870699528e+01,9.998871630954696554e-01
1.219600723197310899e+01,9.999150566078554014e-01
1.226817295523922269e+01,9.999330915076347637e-01
1.234033867850533639e+01,9.999391807986188763e-01
1.241250440177144654e+01,9.999329961455767357e-01
1.248467012503756024e+01,9.999136883187699221e-01
1.255683584830367394e+01,9.998825654449700062e-01
1.262900157156978764e+01,9.998405503155043395e-01
1.270116729483589957e+01,9.997909953909545067e-01
1.277333301810201327e+01,9.997367855435536077e-01
1.284549874136812697e+01,9.996825724622794285e-01
1.291766446463423890e+01,9.996330441529416300e-01
1.298983018790035260e+01,9.995911966735039345e-01
1.306199591116646630e+01,9.995618707132949421e-01
1.313416163443258000e+01,9.995428238168588830e-01
1.320632735769869193e+01,9.995332445987444858e-01
1.327849308096480385e+01,9.995278781721164130e-01
1.335065880423091755e+01,9.995207085047761453e-01
1.342282452749703126e+01,9.995061346879119402e-01
1.349499025076314318e+01,9.994766696673511586e-01
1.356715597402925688e+01,9.994310676440282259e-01
1.363932169729537058e+01,9.993658953017834357e-01
1.371148742056148429e+01,9.992820638070217809e-01
1.378365314382759621e+01,9.991804488734717937e-01
1.385581886709370991e+01,9.990653356601568724e-01
1.392798459035982361e+01,9.989409792724683879e-01
1.400015031362593554e+01,9.988131199815212247e-01
1.407231603689204746e+01,9.986876374237169118e-01
1.414448176015816117e+01,9.985699988741520983e-01
1.421664748342427487e+01,9.984662035679990888e-01
1.428881320669038679e+01,9.983806956769705199e-01
1.436097892995650049e+01,9.983171280426218486e-01
1.443314465322261420e+01,9.982780302145919382e-01
1.450531037648872790e+01,9.982646742120440120e-01
1.457747609975483982e+01,9.982767232146076974e-01
1.464964182302095352e+01,9.983126330531484349e-01
1.472180754628706723e+01,9.983693798854709200e-01
1.479397326955318093e+01,9.984433857203435236e-01
1.486613899281929108e+01,9.985297175482678034e-01
1.493830471608540478e+01,9.986219466234701470e-01
1.501047043935151848e+01,9.987158829226696621e-01
1.508263616261763040e+01,9.988056767797536262e-01
1.515480188588374411e+01,9.988871164489259158e-01
1.522696760914985781e+01,9.989580098736646763e-01
1.529913333241597151e+01,9.990175471485223113e-01
1.537129905568208343e+01,9.990662535837008251e-01
1.544346477894819714e+01,9.991045697016643912e-01
1.551563050221431084e+01,9.991313299040061047e-01
1.558779622548042454e+01,9.991443887174459304e-01
1.565996194874653469e+01,9.991438549383000467e-01
1.573212767201264839e+01,9.991295304355579665e-01
1.580429339527876209e+01,9.991079983710736689e-01
1.587645911854487579e+01,9.990883190157896498e-01
1.594862484181098772e+01,9.990792243655868266e-01
1.602079056507710320e+01,9.990891837105764228e-01
1.609295628834321334e+01,9.991185360957013373e-01
1.616512201160932705e+01,9.991642589527350848e-01
1.623728773487544075e+01,9.992187042422139287e-01
1.630945345814155445e+01,9.992743610373979735e-01
1.638161918140766815e+01,9.993239122374919514e-01
1.645378490467377830e+01,9.993613428961040102e-01
1.652595062793989200e+01,9.993833405744328990e-01
1.659811635120600570e+01,9.993885133272555343e-01
1.667028207447211940e+01,9.993758698039277855e-01
1.674244779773823311e+01,9.993468805484468920e-01
1.681461352100434681e+01,9.993032468861519080e-01
1.688677924427045696e+01,9.992476715685428834e-01
1.695894496753657066e+01,9.991833006563904940e-01
1.703111069080268436e+01,9.991137689027899116e-01
1.710327641406879806e+01,9.990426147647651911e-01
1.717544213733490821e+01,9.989738474700922133e-01
1.724760786060102546e+01,9.989103288002472159e-01
1.731977358386713561e+01,9.988562828776675895e-01
1.739193930713324932e+01,9.988116368026518366e-01
1.746410503039936302e+01,9.987768733380706365e-01
1.753627075366547672e+01,9.987506285686839069e-01
1.760843647693159042e+01,9.987256165858352519e-01
1.768060220019770057e+01,9.986952115637921512e-01
1.775276792346381427e+01,9.986513360768307646e-01
1.782493364672992797e+01,9.985878475651670527e-01
1.789709936999604167e+01,9.985071388031668826e-01
1.796926509326215182e+01,9.984203878600907967e-01
1.804143081652826908e+01,9.983439483882174947e-01
1.811359653979437923e+01,9.982935280349948259e-01
1.818576226306049648e+01,9.982713010116704977e-01
1.825792798632660663e+01,9.982659070644837040e-01
1.833009370959272033e+01,9.982540941358142295e-01
1.840225943285883403e+01,9.982123355624253902e-01
1.847442515612494418e+01,9.981214194187352229e-01
1.854659087939105788e+01,9.979776008362574169e-01
1.861875660265717158e+01,9.977890491229503001e-01
1.869092232592328529e+01,9.975717441504704519e-01
1.876308804918939543e+01,9.973435512488896260e-01
1.883525377245551269e+01,9.971196642348104655e-01
1.890741949572162284e+01,9.969143770682507011e-01
1.897958521898774009e+01,9.967363694544831842e-01
1.905175094225385024e+01,9.965915512479075478e-01
1.912391666551996394e+01,9.964824506661401626e-01
1.919608238878607764e+01,9.964077325126111662e-01
1.926824811205218779e+01,9.963639616014300371e-01
1.934041383531830149e+01,9.963451232998203899e-01
1.941257955858441520e+01,9.963428739922022270e-01
1.948474528185052890e+01,9.963474825241864785e-01
1.955691100511664260e+01,9.963487993748338933e-01
1.962907672838275630e+01,9.963364199420540190e-01
1.970124245164886645e+01,9.963026346702755776e-01
1.977340817491498370e+01,9.962445464570552911e-01
1.984557389818109385e+01,9.961645785955113297e-01
1.991773962144720755e+01,9.960734462696105851e-01
1.998990534471332126e+01,9.959880028610309521e-01
2.006207106797943140e+01,9.959290195909096255e-01
2.013423679124554511e+01,9.959179976340966078e-01
2.020640251451165881e+01,9.959635556407002710e-01
2.027856823777777251e+01,9.960612145774280224e-01
2.035073396104388621e+01,9.961906434684176803e-01
2.042289968430999991e+01,9.963228919591120558e-01
2.049506540757611006e+01,9.964351902873860301e-01
2.056723113084222732e+01,9.965166979606596698e-01
2.063939685410833746e+01,9.965693087107470038e-01
2.071156257737445117e+01,9.965985775186976259e-01
2.078372830064056487e+01,9.966007265343045374e-01
2.085589402390667502e+01,9.965516851717366453e-01
2.092805974717278872e+01,9.964101715144144666e-01
2.100022547043890242e+01,9.961247474379314459e-01
2.107239119370501612e+01,9.956446650592390979e-01
2.114455691697112982e+01,9.949309079901687003e-01
2.121672264023724352e+01,9.939548197258530893e-01
2.128888836350335367e+01,9.927037131220909361e-01
2.136105408676947093e+01,9.911776412340289610e-01
2.143321981003558108e+01,9.893854508578555640e-01
2.150538553330169478e+01,9.873454716496468109e-01
2.157755125656780848e+01,9.850812947549737464e-01
2.164971697983391863e+01,9.826207602263363761e-01
2.172188270310003588e+01,9.799937451240552377e-01
2.179404842636614603e+01,9.772308967048969341e-01
2.186621414963225973e+01,9.743619516045455287e-01
2.193837987289837343e+01,9.714153557896082480e-01
2.201054559616448714e+01,9.684175328274102768e-01
2.208271131943059729e+01,9.653917805515932482e-01
2.215487704269671454e+01,9.623583058900861964e-01
2.222704276596282469e+01,9.593337082621705703e-01
2.229920848922893839e+01,9.563296678557948738e-01
2.237137421249505209e+01,9.533529646925535950e-01
2.244353993576116224e+01,9.504041169801111799e-01
2.251570565902727949e+01,9.474770056389754114e-01
2.258787138229338964e+01,9.445591683486458390e-01
2.266003710555950335e+01,9.416336407423663291e-01
2.273220282882561705e+01,9.386840745456638269e-01
2.280436855209173075e+01,9.357050906074572127e-01
2.287653427535784090e+01,9.327153696328793764e-01
2.294869999862395815e+01,9.297658510575605995e-01
2.302086572189006830e+01,9.269233032661019500e-01
2.309303144515618555e+01,9.242462490432094002e-01
2.316519716842229570e+01,9.217601264096374480e-01
2.323736289168840585e+01,9.194598528083658406e-01
2.330952861495452311e+01,9.173154929440762162e-01
2.338169433822063326e+01,9.152840150511816208e-01
2.345386006148674696e+01,9.133160292972152261e-01
2.352602578475286066e+01,9.113613335100202439e-01
2.359819150801897436e+01,9.093682784657922680e-01
2.367035723128508451e+01,9.072882852482426763e-01
2.374252295455120176e+01,9.050778959442457028e-01
2.381468867781731191e+01,9.027029000496405997e-01
2.388685440108342917e+01,9.001384064026906051e-01
2.395902012434953932e+01,8.973646091054138241e-01
2.403118584761564946e+01,8.943698789514604730e-01
2.410335157088176672e+01,8.911636141376902964e-01
2.417551729414787687e+01,8.877803291171164624e-01
2.424768301741399057e+01,8.842685295636159015e-01
2.431984874068010427e+01,8.806643424856841484e-01
2.439201446394621797e+01,8.769813328373650130e-01
2.446418018721232812e+01,8.732086190766918943e-01
2.453634591047844538e+01,8.693256852912361055e-01
2.460851163374455552e+01,8.653093283046980888e-01
2.468067735701067278e+01,8.611398692586562653e-01
2.475284308027678293e+01,8.568018694808612334e-01
2.482500880354289308e+01,8.522869585723449326e-01
2.489717452680901033e+01,8.475930758812633137e-01
2.496934025007512048e+01,8.427264050506727555e-01
2.504150597334123418e+01,8.377000324142662713e-01
2.511367169660734788e+01,8.325349741193390773e-01
2.518583741987346158e+01,8.272578887217951760e-01
2.525800314313957529e+01,8.219003843147307808e-01
2.533016886640568899e+01,8.164960261707956413e-01
2.540233458967179914e+01,8.110789893978581633e-01
2.547450031293791639e+01,8.056823352860923437e-01
2.554666603620402654e+01,8.003362541236406225e-01
2.561883175947013669e+01,7.950682630840200105e-01
2.569099748273625394e+01,7.899027213930872593e-01
2.576316320600236409e+01,7.848607138252761128e-01
2.583532892926847779e+01,7.799595910304355506e-01
2.590749465253459149e+01,7.752124181334022479e-01
2.597966037580070520e+01,7.706269452864362712e-01
2.605182609906681890e+01,7.662047394797948385e-01
2.612399182233293260e+01,7.619402046622114621e-01
2.619615754559904275e+01,7.578193501874999072e-01
2.626832326886516000e+01,7.538209826583694984e-01
2.634048899213127015e+01,7.499202203261331467e-01
2.641265471539738385e+01,7.460937002732356271e-01
2.648482043866349755e+01,7.423296521640968537e-01
2.655698616192960770e+01,7.386347028378291713e-01
2.662915188519572141e+01,7.350388146444598592e-01
2.670131760846183511e+01,7.315900495041181006e-01
2.677348333172794881e+01,7.283387053762877539e-01
2.684564905499406251e+01,7.253147205907091166e-01
2.691781477826017621e+01,7.225179493230432515e-01
2.698998050152628636e+01,7.199265913852033183e-01
2.706214622479240361e+01,7.174976240407239247e-01
2.713431194805851376e+01,7.151846267349096786e-01
2.720647767132462747e+01,7.129364659200968513e-01
2.727864339459074117e+01,7.107009691634941229e-01
2.735080911785685132e+01,7.084254728899148645e-01
2.742297484112296857e+01,7.060561268319622830e-01
2.749514056438907872e+01,7.035362023941182930e-01
2.756730628765519242e+01,7.008067850910499885e-01
2.763947201092130612e+01,6.978268734246318994e-01
2.771163773418741982e+01,6.946004514711304756e-01
2.778380345745352997e+01,6.911823388544230395e-01
2.785596918071964723e+01,6.876424730461446755e-01
